Date ,Time ,Location ,Operator ,Route,Type,Aboard ,Fatalities,Ground,Summary ,,,Cause of crash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-05-1972,,"Near Valledupar, Colombia",TAC Colombia,Bogota - Valledupar,Fairchild F-27,19,19,0,Disappeared while en route. Wreckage found 3 days later.,,,unknown ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-11-1972,13:20,"Near Vientiane, Laos",Royal Air Lao,Savannakhet - Vientiane,Douglas DC-4,23,23,0,Shot down while en route. Aircraft not found.,,,shot down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/16/1972,02:55,"Jackson, Mississippi",Hankins Airways - Air Taxi,"Chicago, IL - Detroit, MI",Beechcraft D 18S,2,2,0,The aircraft failed to maintain flying speed after a engine failure for undetermined reasons. Ice seen on aircraft before and after the accident.,,,pilot error and poor weather conditions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/1972,,"Little Rock, Arkansas",Military - U.S. Air Force,,Lockheed C-130E Hercules,7,5,0,Midair collision with a T-37 trainer while on approach to Little Rock. Both pilots on the trainer ejected safely.,,,pilot error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/20/1972,10:32,"Fairfield, Idaho",Sun Valley Airways - Air Taxi,"Hailey, ID - Boise, ID",Beechcraft 65-B80,4,4,0,In-flight fire caused in-flight structural failure. Left wing separated due to fire resulting from engine cylinder separation. Excessive working hours may have contributed to the accident.,,,structural failure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/22/1972,07:05,"Molokai, Hawaii",Alii Air Hawaii - Air Taxi,"Honolulu, HI - Lanai, HI",Beechcraft D 18S,8,8,0,Flew into thunderstorm activity and crashed into ocean for reasons unknown. Continued VFR flight into adverse weather conditions.,,,bad weather conditions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-03-1972,20:48,"Albany, New York",Mohawk Airlines,"New York City - Albany, NY",Fairchild-Hiller FH-227-B,48,16,1,"The aircraft was on final approach to Albany County Airport in light snow and two miles visibility, when the pilot reported a malfunctioning left propeller cruise pitch lock. The captain ordered the engine shut down but the crew was unsuccessful in feathering the prop and the plane began to lose altitude. The plane crashed 4 miles short of the runway into a two-family house killing one man. Malfunction of the cruise pitch lock.  Inability of the crew to feather the left propeller, in combination with the descent below the minimum approach altitude. The reason for the malfunction and inability to feather the prop remains undetermined.",,,structural failure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/13/1972,,"Fort Worth, Texas",Military - U.S. Air Force,,Boeing KC-135A,5,5,0,"While attempting to land the right wing struck the ground, the plane crashed and burned.",,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/14/1972,22:00,"Near Al Fujayrah, United Arab Emirates",Sterling Airways,Colombo - Dubai,Aerospatiale Caravelle Super 10B,112,112,0,"The aircraft struck a mountain ridge during approach, 50 miles E of Dubai. Incorrect information from an outdated flight plan.",,,pilot communication error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/1972,,"Shamsam Mountains, South Yemen",EgyptAir,Cairo - Aden,McDonnell Douglas DC-9-32,22,22,0,"The aircraft crashed into Shamsam Mountain and exploded, during a visual approach, 4 miles SW of the airport.",,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/28/1972,,"Near Tchepone, Laos",Military - U.S. Air Force,,Lockheed AC-130A Hercules,14,14,0,Struck by a surface-to-air missile.,,,shot down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-06-1972,,"Near San Fernando, Venezuela",AVENSA,,Curtiss C-46F,2,2,0,The cargo plane crashed.,,,cause undertermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-12-1972,21:26,"Near Rio de Janeiro, Brazil",VASP,Sao Paulo - Rio de Janeiro,NAMC YS-11A-211,25,25,0,"Crashed in mountainous terrain,  50 miles north of Rio de Janeiro, while on approach.",,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/16/1972,22:10,Near Ardinello di Amaseno,Aero Transporti Italiani,Rome - Foggia,Fokker F-27 Friendship 200,18,18,0,Crashed into high ground while en route in thunderstorm activity. Loss of control due to downdrafts and updrafts in thunderstorm activity.,,,poor weather conditions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/17/1972,17:18,"New York, New York",Helaire Helicopter,Sightseeing,Bell 47J-2,3,3,0,Float equipped sightseeing helicopter encountered turbulence which led to the blades flapping and a steep nose down crash into the river.,,,structural failure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/18/1972,09:39,"Addis Ababa, Ethiopia",East African Airways,Addis Ababa - Rome,BAC Super VC-10 1154,107,43,0,The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system.,,,structural failure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/20/1972,,"Near Moyobamba, Peru",SATCO,,Douglas C-47D,6,6,0,The cargo plane struck a mountain in poor weather conditions. The pilot elected to use a cruising altitude lower than stipulated in order to save time and continue flying in VFR conditions.,,,poor weather conditions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/24/1972,12:23,"Nyot Mo, Laos",Air America,"Long Tieng, Laos - Moung Cha, Laos",Pilatus PC6CH2,10,4,0,Hit trees while flying through a mountain pass in rain and fog.,,,poor weather conditions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/26/1972,,"Near An Loc, Vietnam",Military - U.S. Air Force,,Lockheed C-130E Hercules,6,6,0,Shot down by enemy fire.,,,shot down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-04-1972,,"Bratsk, USSR",Aeroflot,,Yakovlev YAK-40,18,18,0,Crashed on approach. Windshear.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-05-1972,22:24,"Near Carini, Sicily, Italy",Alitalia,Rome - Palermo,McDonnell Douglas DC-8-43,115,115,0,The plane cashed into Mt. Lunga during an approach to Palermo. The crew's non-adherence to airport traffiregulations. The aircraft was named Antonio Pigafetta.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-08-1972,,"Cuidad, Venezuela",Aerotechnia,Ciudad - La Centella,Douglas C-47B,7,7,0,Struck a mountain while en route.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-10-1972,10:25,"Near Gia Dinh, South Vietnam",Military - U.S. Army,Bien Hoa - Vung Tau,Boeing Vertol CH47A (helicopter),34,34,0,Metal fatigue of the spar in a blade led to separation of the blade and loss of control of the aircraft.,,,structural failure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/19/1972,12:29,"Albuquerque, New Mexico",Ross Aviation - Air Taxi,"Albuquerque, NM - Sante Fe, NM",Beechcraft 65-B80,9,9,0,"Forward cargo door was not secured, opened in flight. Cargo damaged left propeller. Open door created extra drag. Pilot lost control and crashed.",,,structural failure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/21/1972,,"Lobito, Angola",DTA Angola Airlines,Luanda - Lobito - Sa Da Bandeira,Fokker F-27 Friendship 200,25,22,0,Overshot the runway in heavy fog and crashed into the ocean while landing.,,,poor weather conditions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/27/1972,,"Near Helgoland, Germany",General Air,,de Havilland Canada DHC-6 Twin Otter,13,8,0,Crashed after taking off this North sea island for another island.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/29/1972,06:04,"Dulac, Louisiana",Petrolium Helicopter,"Dulac, LA - Gulf oil platform",Bell 205A,11,11,0,Crashed into the water after the fatigue failure of both tail rotor blade grips.,,,structural failure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/29/1972,,"Cruzeiro do Sul Acre, Brazil",Amazonese Importacao e Exportacao,,Lockheed 049 Constellation,18,9,0,"Cashed into trees shortly after taking off after two engines failed. Refueling directly from the trucks, without allowing sufficient time for the fuel to settle.",,,engine failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/30/1972,06:24,"Dallas/Ft. Worth, Texas",Delta Air Lines,Training,McDonnell Douglas DC-9-14,4,4,0,While practicing touch and go landing the aircraft crashed after getting caught in the wake turbulence of a DC-10. An encounter with a trailing vortex generated by a preceding 'heavy' jet which resulted in an involuntary loss of control of the airplane during final approach. Although cautioned to expect turbulence the crew did not have sufficient information to evaluate accurately the hazard or the possible location of the vortex. Existing FAA procedures for controlling VFR flight did not provide the same protection from a vortex encounter as was provided to flights being given radar vectors in either IFR or VFR conditions.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-1972,11:05,"Valdez, Alaska",Fairbanks Air - Air Taxi,"Fairbanks, AK - Valdez, AK",Cessna U206C,2,2,0,Flew into mountain pass in fog. Wing caught ground in turnaround. Continued VFR flight into adverse weather conditions.,,,structural failure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03-1972,09:30,"Winfield, Kansas",Smyer Aircraft - Air Taxi,"Arkansas City, KS - White Plains, NY",Beechcraft E18S,2,2,0,In flight engine fire caused left wing to separate.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03-1972,,"Near Jesbel Musa, Morocco",Military - U.S. Navy,Rota - Souda Bay,Lockheed P-3A Orion,14,14,0,Crashed into a mountain en route.,,,engine failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-05-1972,,"Near Pleiku, Vietnam",Air America,Siagon - Hue-Phu Bai - Pleiku,Curtiss C-46A,32,32,0,Crashed on approach.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/1972,,"Santiago, Chile",Aerolineas Flecha Austral,,Curtiss C-46D,3,3,0,On approach the aircraft struck El Ovejero mountain.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/1972,,"Near an Loc, South Vietnam",Military - Vietnamese Air Force,,Boeing Vertol CH-47 (helicopter),47,47,0,"Shot down by enemy fire, 60 miles north of Saigon, shortly after taking off.",,,shot down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/1972,20:20,"Near New Delhi, India",Japan Air Lines,Bangkok - Delhi,McDonnell Douglas DC-8-53,87,82,4,The aircraft crashed short of the runway. Indian officials claimed the crash was caused by a disregard for prescribed procedures in abandoning all instrument references before making visual contact with the runway. Japanese investigators claimed a false glide path signal was responsible for the descent into terrain.,,,false guide path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/15/1972,14:00,"Near Pleiku, Vietnam",Cathay PacifiAirways,Bangkok - Hong Kong,Convair CV-880-22M-21,81,81,0,"The plane crashed while en route from Singapore to Hong Kong. Detonation of an explosive device in the passenger cabin in a suitcase under a seat. A Thai police lieutenant, accused of planting the bomb, was acquitted due to lack of sufficient evidence.",,,explosive device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/18/1972,01:50,"Smiley, Texas",Air Central,"Harlingen, TX - Austin, TX",Cessna 182N,5,5,0,Mentally distrubed passenger in rear seat shot pilot twice.,,,shot down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/18/1972,23:55,"Huê, Vietnam",Military - U.S. Air Force,,Lockheed AC-130A Hercules,15,12,0,Struck by a surface-to-air missile while landing.,,,struck by missile ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/18/1972,,"Near Kharkov, Ukraine, USSR",Aeroflot,,Antonov AN-10A,122,122,0,Structural failure and separation of both wings due to a fatigue crack in the center wing section.,,,structural failure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/18/1972,16:11,"London Heathrow,  Staines, Surrey, England",British European Airways,London - Brussels,Hawker Siddeley Trident 1C,118,118,0,The plane crashed into a field shortly after taking off from Heathrow Airport. The airplane stalled after the wing's leading edge devices were retracted prematurely after takeoff.  Failure of the captain to maintain adequate speed after noise abatement procedures. Premature retraction of the slats. Incapacitation of the captain due to a possible arterial hemorrhage.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/24/1972,23:17,"Ponce, Puerto Rico",Prinair,San Juan - Ponce,de Havilland DH-114 Heron 2B,20,5,0,"The pilot over-rotated during a go-around from a landing attempt , lost control and crashed. Crew error. The reason for rejecting the landing is not known.",,,pilot and crew error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/25/1972,13:17,"Hornell, New York",Seventy Airways - Air Taxi,"Almond Dam, NY - Salamanica, NY",Hughes 369HS,3,3,0,Hti wires above creek while surveying flood damage.,,,poor weather conditions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/29/1972,09:37,"Appleton, Wisconsin",North Central Airlines / Air Wisconsin,"Chicago, IL - Appleton, WI - Sheboygan, WI",Convair CV-580/De Hav. Twin Otter 100,13,13,0,Both aircraft were proceeding under VFR getting ready to land when there was a midair collision. Both aircraft crashed into Lake Winnebago and sank. The failure of both flightcrews to detect visually the other aircraft in sufficient time to initiate evasive action.,,,midair collision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/29/1972,,"Blackpool, England",Inter City Flug,,MBB HFB-320 Hansa Jet,8,7,0,The takeoff was aborted and the plane overran the runway and crashed into a camp and caught fire. Elevator gust locks not removed.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1972,07:43,"Steamboat, Nevada",Casino Air - Air Taxi,Sightseeing,Beechcraft U206C,5,2,0,The aircraft flew into a blind canyon. Stalled and crashed into rising terrain while in a turnaround.,,,pilot error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-05-1972,,"San Francisco, California",PacifiSouthwest Airlines,Sacramento - San Francisco,Boeing 737-200,86,3,0,Two hijackers and one passenger killed.,,,due to hijackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-06-1972,,"Off Las Palmas, Canary Islands, Spain",Aviaco,"Las Palmas - Hamberg, Germany",McDonnell Douglas DC-8-52,10,10,0,"The plane ditched into the sea, 14 miles from Gran Canana Island.",,,pilot error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-11-1972,,"Near Quang Tri, South Vietnam",Military - U.S. Marine Corps,,Sikorsky CH-53D (helicopter),67,52,0,"Shot down by enemy fire, 60 miles north of Siagon.",,,shot down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-11-1972,16:00,"Near Grytoya, Norway",Military - Royal Norwegian Air Force,Bardufoss - Bodoe,de Havilland Canada DHC-6 Twin Otter 100,19,19,0,Crashed in rain and fog on the island of Hinno while preparing to land at Skagon Airport. Navigational error.  The pilot was found be under the influence of alcohol.,,,poor weather conditions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/20/1972,,"Corfu Island, Greece",Charter,,Sud-Aviation SE210 Caravelle,84,1,0,"On the takeoff run, a loud explosion was heard and the takeoff was aborted. The aircraft never became airborne,  overran the runway and crashed into shallow water.  On passenger that did not have her seatbelt on was killed.",,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/29/1972,,"Villavicencio, Colombia",AVIANCA / AVIANCA,,Douglas DC-3 / Douglas DC-3,38,38,0,Midair collision. Seventeen aboard the HK-134 and twenty-one aboard the HK-107 killed.,,,midair collision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-12-1972,04:00,"Near SoTrang, South Vietnam",Military - U.S. Air Force,,Lockheed C-130E,44,30,0,The aircraft was hit by small arms fire shortly after taking off from SoTrang Air Base.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-12-1972,,"Near Delhi, India",Indian Airlines,Gwalior - Delhi,Fokker F-27 Friendship 100,18,18,0,Crashed on second approach after the pilot used the wrong flap setting and gears down after initiating a go-around.,,,pilot error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/14/1972,17:00,"Near Konigs Wusterausen, East Germany",Interflug,Berlin - Birgas,Ilyushin IL-62,156,156,0,"In cargo bay 6, hot air, leaking from an air conditioning system, melted insulation off cabling causing a short circuit in the stabilizing system. Melting insulation ignited flammable fluid which led to an uncontrollable fire that eventually weakened the structure until the tail fell off.",,,structural failure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/16/1972,,"Near Sandoway, Myanmar",Burma Airways,Sandoway - Rangoon,Douglas DC-3 (C-47A-DK),31,26,0,Lost control soon after it took off and crashed into the sea.,,,structural faliure ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/27/1972,,"Canaima, Venezuela",Lineas Areas Venezolanas,Canaima - C iudad,Douglas C-47-DL,34,34,0,The aircraft crashed while the crew was returning to the airport after experiencing a No.1 engine failure.,,,engine failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/28/1972,14:30,"Papua, New Guinea",Military - Royal Australian Air Force,Lae - Port Moresby,de Havilland Canada DHC-4 Caribou,29,25,0,"While traveling through a valley, the pilot reversed his course after the weather deteriorated. He began to climb but clipped trees just below a ridge, lost control of the aircraft and crashed. The pilot's error in judgement in not flying about the poor weather in the valley.",,,pilot errror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1972,,"Near Magnitogorsk, Russia",Aeroflot,,Ilyushin IL-18,101,101,0,"The aircraft crashed, trailing heavy smoke. Fire caused by spontaneous ignition of passenger baggage.",,,poor weather conditions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-01-1972,,"Mt Siluwe, Papua, New Guinea",Ansett Airlines of Papua New Guinea,,Shorts SC-7 Skyvan 3-300,4,4,0,"While on a VFR flight, the aircraft, struck  Mt. Giluwe at  14,346 feet. Cause undetermined.",,,cause undertermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-1972,17:57,"Trinidad, Bolivia",Servicios Aereas Virgen de Copacabana,,Curtiss C-46A-40-CU,8,1,0,"The No.1 engine failed during takeoff, the aircraft banked left, lost height, touched down again and ran through small trees and a fence . The right gear collapsed and the nose hit the ground.",,,engine failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-10-1972,10:20,"Gondar, Ethiopia",Ethiopian Airlines,Axum - Gondar,Douglas DC-3,11,11,0,Crashed after a wing separated from the fuselage.,,,poor weather conditions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/13/1972,12:00,"Near Dhulikhel, Nepal",Military - Royal Nepalese Air Force,Panchkhal - Tribuvan,Douglas C-47,31,31,0,Crashed while en route with paratroopers.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/24/1972,,"Sacramento, California",Private,,F-86 Sabrejet,1,0,22,"A World War II vintage Sabrejet fighter leaving an air show at Executive Airport was unable to get airborn and crashed into a Farrell's Ice Cream Parlor on Freeport Blvd. Twenty-two people on the ground, including 12 children were killed. The pilot, was pulled from the wreckage by a bystander and survived. The pilot tried to lift off too quickly, pointing the nose of the jet three times higher than the normal angle. Instead of becoming airborne sooner, the plane had trouble getting off the ground.",,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/24/1972,,"Near Ben Cat, South Vietnam",Air Vietnam (South Vietnam),Vientiane - Saigon,Douglas C-54D-1-DC,13,10,0,Crashed 23 miles from Saigon while attempting an emergency landing.,,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1972,,"Madrid, Spain",Spantax,Training,Douglas C-47B,6,1,0,"The student pilot rotated too quickly, the plane stalled and crashed.",,,pilot error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-02-1972,,"Kampot, Cambodia",Cambodia Air,,Douglas DC-3,9,9,0,Shot down by a mortar shell while approaching to land at Kampot.,,,shot down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-02-1972,18:00,"Near Adler, Russia",Aeroflot,Adler - Moscow,Ilyushin IL-18B,109,109,0,"The flight ditched into Black Sea shortly after takeoff. The accident occurred in good weather and visibility, and ground controllers received no distress message prior to the crash. An investigation failed to reveal its cause.",,,cause undertermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
